Pre-Prod No.,Date,Weeks Taken (or parts thereof),Age Category,Project Age (Open and Closed),Open or closed,Completion date,Client,Project Description,Category,Raw Code,Works Order,Product Code,Sales Rep,Repeat Job,Machine,Material,Artwork required,Artwork Received,Size of Eyemark,Date Sent on Proof,Proof Approved (Conventional),Proof Approved (Digital),Digital trial sent,Sent on Trial,Trial approved,Revised Artwork After Trialling,"Product Material Colour (tube, jar etc.)",Diameter,Length,Cap_Lid Colour,Cap_Lid Diameter,Cap_Lid Material,Cap_Lid Style,Tube Shoulder colour,Orifice,Other Cap_Lid Info,Comments,Dust Controlled Area,Extrusion requested,Extrusion received,Injection trial requested,Injection trial received,Blowmould trial requested,Blowmould trial received,Masterbatch requested,Masterbatch received,New Mould_ Client or Product,Unit Order No,Order Qty x1000,Ordered Plates,Plates Arrived,Status,Qty_Including Waste,Artwork Order,Due for SAESA,Order,Digital Trial,Foil,Digital Trial No,T1_Date,Retrial T2,Retrial T3,Retrial T4,Retrial T5,Trial Comments
19982_2,,,,0,,,Saradox,GS Bee Natural Wild Honey Sh/Butter & Van. Yoghurt 75ml,Digital Laminate,C35LTSAA098F (Add 1),W00236714,C35LTSAA098F (Add 1),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,125,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,6200,PO011223,x,x,Repeat,,,,,,,,
19982_3,,,,0,,,Saradox,GS Bee Natural Wild Honey Sh/Butter & Van. Yoghurt 75ml,Digital Laminate,C35LTSAA098F (Add 2),W00240798,C35LTSAA098F (Add 2),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,125,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,11200,PO011223,x,x,Repeat,,,,,,,,
19982_4,,,,0,,,Saradox,GS Bee Natural Wild Honey Sh/Butter & Van. Yoghurt 75ml,Digital Laminate,C35LTSAA098F (Add 3),W00240982,C35LTSAA098F (Add 3),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,125,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,11000,PO011223,x,x,Repeat,,,,,,,,
19982_5,,,,0,,,Saradox,GS Bee Natural Wild Honey Sh/Butter & Van. Yoghurt 75ml,Digital Laminate,C35LTSAA098F (Add 4),W00246940,C35LTSAA098F (Add 4),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,125,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,22400,PO011223,x,x,Repeat,,,,,,,,
19983_1,,,,0,,,Proficos,No Grow Female  Facial - 90ml,Digital Laminate,C40LTDAN009F (Add),W00246848,C40LTDAN009F (Add),Senate,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,40,120,,,,,,4,,,,,,,,,,,,,,,,,,3200,PO206714,x,x,Repeat,,,,,,,,
19986_1,,,,0,,,Aloe Ferox,Aloe Ferox Mature 50ml,Digital Laminate,C35LTALO143F (Add),W00252161,C35LTALO143F (Add),Warren,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,90,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,6000,POA10314,x,x,Repeat,,,,,,,,
19986_2,,,,0,,,Aloe Ferox,Aloe Ferox Mature 50ml,Digital Laminate,C35LTALO143F (Add 1),W00253896,C35LTALO143F (Add 1),Warren,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,90,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,5800,POA10314,x,x,Repeat,,,,,,,,
19989_1,,,,0,,,Aloe Ferox,Aloe Ferox Moisturizer 150ml,Digital Laminate,C40LTALO058F (Add),W00251693,C40LTALO058F (Add),Warren,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,40,165,,,,,,10,,,,,,,,,,,,,,,,,,8100,POA10314,x,x,Repeat,,,,,,,,
19990_1,,,,0,,,Aloe Ferox,Aloe Ferox Muscle Gel 75ml,Digital Laminate,C35LTALO144F (Add),W00249716,C35LTALO144F (Add),Warren,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,120,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,5000,POA10314,x,x,Repeat,,,,,,,,
20000_1,,,,0,,,Saradox,GS Nourish & Flourish Hand Cream 75ml,Digital Laminate,C35LTSAA099F (Add),W00231605,C35LTSAA099F (Add),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,125,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,6200,2,x,x,Repeat,,Repeat,,,,,,
20000_2,,,,0,,,Saradox,GS Nourish & Flourish Hand Cream 75ml,Digital Laminate,C35LTSAA099F (Add 1),W00233659,C35LTSAA099F (Add 1),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,125,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,11500,2,x,x,Repeat,,,,,,,,
20000_3,,,,0,,,Saradox,GS Nourish & Flourish Hand Cream 75ml,Digital Laminate,C35LTSAA099F (Add 2),W00236717,C35LTSAA099F (Add 2),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,125,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,6200,2,x,x,Repeat,,,,,,,,
20000_4,,,,0,,,Saradox,GS Nourish & Flourish Hand Cream 75ml,Digital Laminate,C35LTSAA099F (Add 3),W00240795,C35LTSAA099F (Add 3),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,125,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,11200,2,x,x,Repeat,,,,,,,,
